call_name,line_no,class_instantiation,instantiation_line_no,relative_file_path,repository_name,file_path
postprocess(output[0]),69,"postprocess = PostProcessor(img_size=args.img_size, strides=[8, 16, 32], num_classes=80, conf_thresh=args.score_thr, nms_thresh=0.5)",48,deployment/ONNXRuntime/onnx_inference.py,yjh0410/FreeYOLO,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\yjh0410@FreeYOLO\deployment\ONNXRuntime\onnx_inference.py
postprocess(output),113,"postprocess = PostProcessor(img_size=args.img_size, strides=[8, 16, 32], num_classes=80, conf_thresh=args.score_thr, nms_thresh=0.5)",93,deployment/OpenVINO/python/openvino_inference.py,yjh0410/FreeYOLO,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\yjh0410@FreeYOLO\deployment\OpenVINO\python\openvino_inference.py
