call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load,all_boxes = json.load(f),238,import json,15.0,json.load,json,mmskeleton/datasets/coco.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\mmskeleton\datasets\coco.py
import,load,json.load(open(res_file)),363,import json,15.0,json.load,json,mmskeleton/datasets/coco.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\mmskeleton\datasets\coco.py
import,load,data = json.load(f),30,import json,3.0,json.load,json,mmskeleton/datasets/skeleton/loader.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\mmskeleton\datasets\skeleton\loader.py
import,load,label_info = json.load(f),67,import json,7.0,json.load,json,mmskeleton/deprecated/datasets/kinetics_feeder.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\mmskeleton\deprecated\datasets\kinetics_feeder.py
import,load,video_info = json.load(f),102,import json,7.0,json.load,json,mmskeleton/deprecated/datasets/kinetics_feeder.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\mmskeleton\deprecated\datasets\kinetics_feeder.py
import,load,data = json.load(f),46,import json,3.0,json.load,json,mmskeleton/deprecated/datasets/recognition.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\mmskeleton\deprecated\datasets\recognition.py
import,load,"self.sample_name, self.label = pickle.load(f)",43,import pickle,3.0,pickle.load,pickle,mmskeleton/deprecated/datasets/skeleton_feeder.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\mmskeleton\deprecated\datasets\skeleton_feeder.py
import,load,"self.data = np.load(self.data_path, mmap_mode='r')",47,import numpy as np,2.0,numpy.load,numpy,mmskeleton/deprecated/datasets/skeleton_feeder.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\mmskeleton\deprecated\datasets\skeleton_feeder.py
import,load,self.data = np.load(self.data_path),49,import numpy as np,2.0,numpy.load,numpy,mmskeleton/deprecated/datasets/skeleton_feeder.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\mmskeleton\deprecated\datasets\skeleton_feeder.py
import,load,video_categories = json.load(f)['annotations'],56,import json,2.0,json.load,json,mmskeleton/processor/skeleton_dataset.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\mmskeleton\processor\skeleton_dataset.py
import,load,"checkpoint = torch.load(in_file, map_location='cpu')",17,import torch,4.0,torch.load,torch,tools/publish_model.py,open-mmlab/mmskeleton,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\open-mmlab@mmskeleton\tools\publish_model.py
