Unnamed: 0,full_name,description,topics,clone_url,created_at,updated_at,pushed_at,language,stars_count,forks_count,size,has_requirements_files,last_commit_hash
127,atulapra/Emotion-detection,Real-time Facial Emotion Detection using deep learning,"['computer-vision', 'deep-learning', 'emotion-detection', 'emotion-recognition', 'haar-cascade', 'opencv', 'opencv-python', 'tflearn']",https://github.com/atulapra/Emotion-detection.git,2017-08-06 6:28,2023-02-22 14:40,2023-02-16 18:24,Python,885,396,16469,True,934e111b8cc0870b9505e30e912dac8aa9696326
7667,SoloTodo/solotodo_core,,[],https://github.com/SoloTodo/solotodo_core.git,2017-07-11 21:59,2022-12-31 6:27,2023-02-15 17:36,Python,14,5,3380,True,edc8a67c868b827b181446dc45f249f98de0764b
2123,naturalis/sdmdl,Species Distribution Modelling using Deep Learning,"['biodiversity-patterns', 'deep-learning', 'dl-sdm', 'ecological-niche-modelling']",https://github.com/naturalis/sdmdl.git,2019-06-19 11:17,2022-07-06 14:22,2023-02-14 2:01,Python,16,10,366312,True,034ce4e807f7a83d31bf7b46435275ba91cfcb00
983,raphaelsty/mkb,Knowledge Base Embedding By Cooperative Knowledge Distillation,"['distillation', 'embeddings', 'graph', 'graph-embedding', 'knowledge', 'knowledge-graph', 'knowledge-graph-embeddings', 'machine-learning', 'mkb', 'pytorch', 'triplets', 'wn18']",https://github.com/raphaelsty/mkb.git,2020-04-06 11:42,2023-01-24 16:28,2022-10-02 20:18,Python,58,2,46222,True,9f2c7a6de05e171074b0a27c3f8ec7d7279542c6
2448,m-doru/Facial-based-authentication-system,Proiect licenta ,"['face-identification', 'face-recognition', 'face-spoof-detection']",https://github.com/m-doru/Facial-based-authentication-system.git,2016-10-03 10:46,2022-12-12 2:59,2023-01-07 13:11,Python,13,5,234392,True,49cdddfd12475f7d35fa08781978dc32c06ec2a9
3368,louis-she/minetorch,Build deep learning applications in a new and easy way.,"['digits', 'ignite', 'mnist', 'pytorch', 'pytorch-visualization', 'tensorboard', 'tools', 'torchpack']",https://github.com/louis-she/minetorch.git,2018-09-01 7:28,2023-02-23 13:15,2022-12-08 5:01,Python,200,19,1831,True,93c7d2bc3a5b456d9997f1f6492fa638b34d8d2c
7750,alanmitchell/bmon,Web-based Building Monitoring Database and Analysis Software,[],https://github.com/alanmitchell/bmon.git,2014-11-05 4:36,2022-07-17 15:26,2023-02-23 17:35,Python,12,7,5381,True,e2300030959c02a68d0a60608c6c897d271fb62a
3190,infstellar/genshin_impact_assistant,"基于图像识别和模拟按键的多功能原神自动辅助操作,包括自动战斗,自动刷秘境,自动刷大世界材料。",[],https://github.com/infstellar/genshin_impact_assistant.git,2022-09-12 4:25,2023-02-23 16:38,2023-02-23 16:10,Python,335,33,526152,True,754ca29fa8221eed2191c5081088ec5602bd694b
139,microsoft/nnfusion,A flexible and efficient deep neural network (DNN) compiler that generates high-performance executable from a DNN model description. ,[],https://github.com/microsoft/nnfusion.git,2020-04-01 4:15,2023-02-17 16:59,2023-02-22 7:57,C++,780,125,159416,True,bd4f6feed217a43c9ee9be16f02fa8529953579a
1800,GauthierDmn/question_answering,Question Answering task using Deep Learning on SQuAD dataset,[],https://github.com/GauthierDmn/question_answering.git,2019-03-14 23:33,2022-12-30 18:11,2022-12-08 4:52,Python,21,30,656,True,2f7043df96f6d22d29ee9eedfd07b3caa779e6bb
7040,kwrobel-nlp/krnnt,Polish morphological tagger.,"['polish', 'pos-tagger', 'tagger']",https://github.com/kwrobel-nlp/krnnt.git,2017-08-03 19:45,2023-02-02 13:21,2022-11-21 21:00,Python,37,7,33105,True,ea7fb03340b4722f6f6c83a642d23138bb2f41c0
633,kubeflow/kfp-tekton,Kubeflow Pipelines on Tekton,"['dsl', 'hacktoberfest', 'kubeflow', 'kubeflow-pipeline', 'mlops', 'python', 'tekton', 'tekton-pipelines']",https://github.com/kubeflow/kfp-tekton.git,2019-10-23 20:33,2023-02-22 9:41,2023-02-23 15:58,TypeScript,121,101,70369,True,92a09f1fa5b7caea933bcf84b7c6a1b3b3f118e7
113,avinashkranjan/Amazing-Python-Scripts,🚀 Curated collection of Amazing Python scripts from Basics to Advance with automation task scripts.,"['artificial-intelligence', 'hacktoberfest', 'machine-learning', 'projects', 'python', 'python-projects', 'python-scripts', 'speech', 'webcam']",https://github.com/avinashkranjan/Amazing-Python-Scripts.git,2020-07-14 16:57,2023-02-23 11:09,2023-02-16 3:09,Jupyter Notebook,1189,482,295993,True,19495cdb681ad67271540ac8e0341b38bd889384
2338,SamarthTMSL/HacktoberFest-Projects-and-games,Make a Valid pull request for Hacktoberfest 2022. Pull Requests are reviewed within 5hrs of making it.,"['beginner', 'beginner-friendly', 'cpp', 'hacktoberfest', 'hacktoberfest2022', 'html-css-javascript', 'javascript', 'js', 'jupyter-notebook', 'python', 'python3', 'reactjs', 'vue']",https://github.com/SamarthTMSL/HacktoberFest-Projects-and-games.git,2022-10-05 15:17,2023-01-07 21:24,2022-10-31 18:28,Jupyter Notebook,13,65,113522,True,61ff9d079a7cc2f0d4dd1b1ff4ff1c72ec227359
