call_name,line_no,class_instantiation,instantiation_line_no,relative_file_path,repository_name,file_path
"self.loss_function[id_dataset](scores, y)",305,self.loss_function[id_dataset] = Adversarial(alpha=alpha_adv[id_dataset]),190,mkb/distillation/kdmkb_model.py,raphaelsty/mkb,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\raphaelsty@mkb\mkb\distillation\kdmkb_model.py
"self.loss_function[id_dataset](positive_score=scores, negative_score=negative_score, weight=weight)",323,self.loss_function[id_dataset] = Adversarial(alpha=alpha_adv[id_dataset]),190,mkb/distillation/kdmkb_model.py,raphaelsty/mkb,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\raphaelsty@mkb\mkb\distillation\kdmkb_model.py
self.linear_head(sentence_embeddings),178,"self.linear_head = torch.nn.Linear(self.head_model.config.hidden_size, hidden_dim, bias=False)",114,mkb/models/dpr.py,raphaelsty/mkb,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\raphaelsty@mkb\mkb\models\dpr.py
self.linear_tail(sentence_embeddings),180,"self.linear_tail = torch.nn.Linear(self.tail_model.config.hidden_size, hidden_dim, bias=False)",117,mkb/models/dpr.py,raphaelsty/mkb,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\raphaelsty@mkb\mkb\models\dpr.py
self.linear(sentence_embeddings),141,"self.linear = torch.nn.Linear(model.config.hidden_size, hidden_dim, bias=False)",105,mkb/models/sentence_transformer.py,raphaelsty/mkb,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\raphaelsty@mkb\mkb\models\sentence_transformer.py
"self.linear(hidden_state[:, 0])",125,"self.linear = torch.nn.Linear(self.model.config.hidden_size, hidden_dim, bias=False)",99,mkb/models/transformer.py,raphaelsty/mkb,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\raphaelsty@mkb\mkb\models\transformer.py
