call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
assignment_import,fit_transform,Y = mlb.fit_transform(y_train_text),40,mlb = MultiLabelBinarizer(),39,sklearn.preprocessing.MultiLabelBinarizer.fit_transform,sklearn,survey_builder/code/model/extract_tags/bayesian_model_builder.py,OpenStackweb/openstack-org,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\OpenStackweb@openstack-org\survey_builder\code\model\extract_tags\bayesian_model_builder.py
assignment_import,fit,"classifier.fit(X_train, Y)",47,classifier = Pipeline([,42,sklearn.pipeline.Pipeline.fit,sklearn,survey_builder/code/model/extract_tags/bayesian_model_builder.py,OpenStackweb/openstack-org,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\OpenStackweb@openstack-org\survey_builder\code\model\extract_tags\bayesian_model_builder.py
