version,published_at,file_url,is_yanked,yanked_reason
0.21.1,2019-05-15T09:33:54,https://files.pythonhosted.org/packages/8d/8f/0fc2384666f7b67a8821c48ae0a7fdd41515e1c938332b2f0848bbad0225/scikit_learn-0.21.1-cp35-cp35m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl,False,
0.21.0,2019-05-10T02:21:12,https://files.pythonhosted.org/packages/22/29/6f02a111018e145c77ca51f0df473570eb5c692170dc170ec5c8930ad8b5/scikit_learn-0.21.0-cp35-cp35m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl,False,
0.20.3,2019-03-01T20:11:28,https://files.pythonhosted.org/packages/07/42/a01e4b3eb29cb48f759ea706f65515beb9a149ac248eaa4055a8f6dc989f/scikit_learn-0.20.3-cp27-cp27m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl,False,
0.20.2,2018-12-19T12:33:12,https://files.pythonhosted.org/packages/2a/c9/ed5b9d2fa5389ac32160c436a8c57127b965ca93466ecab97df6c6fc5de3/scikit_learn-0.20.2-cp27-cp27m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl,False,
0.20.1,2018-11-23T07:36:42,https://files.pythonhosted.org/packages/17/93/2bd28a74b12dab479d79cab5485e265dc9d2d26b781a04ef2d5aa9f4a5bc/scikit_learn-0.20.1-cp27-cp27m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl,False,
0.20.0,2018-09-26T13:12:28,https://files.pythonhosted.org/packages/11/2a/ca1d592d30856cf0d72fa3fb581f4c7fef81511411283ca412e9c12af769/scikit_learn-0.20.0-cp27-cp27m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl,False,
0.19.2,2018-07-15T15:33:55,https://files.pythonhosted.org/packages/22/47/dfc1c815a75afc940789df0e125d55cf9e1eceaf589d89f285f9df575235/scikit_learn-0.19.2-cp27-cp27m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl,False,
0.19.1,2017-10-23T15:28:44,https://files.pythonhosted.org/packages/de/d3/47c2c9842d61042f3c5f082f677dbe05899b077272105906a3249fe8c5da/scikit_learn-0.19.1-cp27-cp27m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl,False,
0.19.0,2017-08-11T18:38:26,https://files.pythonhosted.org/packages/60/22/457acd1acad1ef22aa9e62483754defe4c78726ebaaa6bb358caeca8b7ab/scikit_learn-0.19.0-cp27-cp27m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl,False,
0.18.2,2017-06-21T04:02:31,https://files.pythonhosted.org/packages/69/e6/7dbf430583a3128c3e4921c7db54c2c5242339fed045c70aec953d66c4de/scikit_learn-0.18.2-cp27-cp27m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl,False,
0.18.1,2016-11-13T23:13:56,https://files.pythonhosted.org/packages/43/88/e61eef6030d096d8cd4d5eb6a2cdb06ad1ece57c3fb6744c47f1b4a1eae5/scikit_learn-0.18.1-cp27-cp27m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl,False,
0.18,2016-09-28T20:47:06,https://files.pythonhosted.org/packages/36/00/3d60d8f99ea682c4a2565c2a89d295ef9fdd31e1cf0a727d6dae862b4391/scikit_learn-0.18-cp27-cp27m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl,False,
0.17.1,2016-02-18T18:05:14,https://files.pythonhosted.org/packages/ae/09/42938d17f29f678101fca8764dc367fbbbfbf58d109686f9e6bd4a977055/scikit_learn-0.17.1-cp27-cp27m-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl,False,
0.17,2015-11-05T22:00:11,https://files.pythonhosted.org/packages/0a/a5/f9f7aaa7b55a72195fcf85aa3e79495140bb2c6fff4c2655f56668a277de/scikit_learn-0.17-cp27-none-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl,False,
0.16.1,2015-04-14T20:01:04,https://files.pythonhosted.org/packages/03/fb/964451757486dd3759422e3b277951ca580ae45a3af18a22c2574522f85a/scikit_learn-0.16.1-cp27-none-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl,False,
0.16.0,2015-03-27T16:20:39,https://files.pythonhosted.org/packages/1c/c2/a74b0b66b397e65b47f58bb733760eb92d588aec15e61cc5919b73fb1301/scikit_learn-0.16.0-cp27-none-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl,False,
0.15.2,2014-11-06T12:51:14,https://files.pythonhosted.org/packages/f0/92/24f55458476fee22996cec14696fc66d9152d4387a6d86f81026b25c20b5/scikit_learn-0.15.2-cp27-none-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.macosx_10_10_intel.macosx_10_10_x86_64.whl,False,
0.15.1,2014-08-28T13:54:23,https://files.pythonhosted.org/packages/cc/dd/3bebe2a181bb4d4c4283ce414a5f69e6593728e5ac27a4554d8b06ab9f35/scikit_learn-0.15.1-cp27-none-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.whl,False,
0.15.0,2014-07-15T11:02:33,https://files.pythonhosted.org/packages/2e/5f/c1876ffd448c86fa49c91f356db3537dd5b858a50f1c59b30f856ba27907/scikit_learn-0.15.0-cp27-none-macosx_10_6_intel.macosx_10_9_intel.macosx_10_9_x86_64.whl,False,
0.14,2013-08-09T17:52:34,https://files.pythonhosted.org/packages/db/06/066181f92b2a667a8fe3f774ad437b1fdcdc996dd4bc549855e07647c0d9/scikit-learn-0.14.tar.gz,False,
0.14.1,2013-08-09T10:25:44,https://files.pythonhosted.org/packages/ee/a9/613e8107ea9ad60e03684a2eb2f824646f3d8f14e96ecfbf4077fc313e6c/scikit-learn-0.14.1.tar.gz,False,
0.13.1,2013-02-23T16:50:23,https://files.pythonhosted.org/packages/cb/ed/475361d83b9e73e60be4a729fc59a899847208238c8be2a6bf13695dbf94/scikit-learn-0.13.1.tar.gz,False,
0.13,2013-01-21T22:59:23,https://files.pythonhosted.org/packages/59/d1/9787f5ba4f4859d9f059439ebbed23052558a20f1f1f4cd32fef48fab0db/scikit-learn-0.13.tar.gz,False,
0.12.1,2012-10-08T22:55:38,https://files.pythonhosted.org/packages/59/09/9a418abee3124e0b2a1ccd20d0bba9802e1f02d8c42bf92e576f6082b44d/scikit-learn-0.12.1.tar.gz,False,
0.12,2012-09-04T20:07:55,https://files.pythonhosted.org/packages/8e/0f/e75beb3358644442411a896cdef9c99d8e2b7874b58428f789036f433b72/scikit-learn-0.12.tar.gz,False,
0.11,2012-05-08T00:40:14,https://files.pythonhosted.org/packages/7e/57/55b4bf2330d138fbfcc3e88f4c255dfc665ce5b3562df0488a060078bf79/scikit-learn-0.11.tar.gz,False,
0.10,2012-01-11T14:42:25,https://files.pythonhosted.org/packages/13/05/712a48016a7d07091fc1813f4620503a350cf1cf3c14eab6afe650628238/scikit-learn-0.10.tar.gz,False,
0.9,2011-09-22T00:03:10,https://files.pythonhosted.org/packages/cd/17/8624d6ba8d91f77fbbf4b6e42dda77450dd647125fcdb3f894c6b9d44a36/scikit-learn-0.9.tar.gz,False,
