call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load,stats_array = [item for f in args.stats_file for item in load(f)],229,from utils import load,13,utils.load,utils,monitoring/insert_metadata.py,UnitTestBot/UTBotJava,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\UnitTestBot@UTBotJava\monitoring\insert_metadata.py
import,load,stats = load(args.stats_file),141,from utils import load,5,utils.load,utils,monitoring/prepare_metrics.py,UnitTestBot/UTBotJava,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\UnitTestBot@UTBotJava\monitoring\prepare_metrics.py
import,load,return json.load(f),14,import json,1,json.load,json,monitoring/utils.py,UnitTestBot/UTBotJava,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\UnitTestBot@UTBotJava\monitoring\utils.py
assignment_import,fit,self.scaler = self.scaler.fit(x_train),131,self.scaler = StandardScaler(),120,sklearn.preprocessing.StandardScaler.fit,sklearn,scripts/ml/train.py,UnitTestBot/UTBotJava,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\UnitTestBot@UTBotJava\scripts\ml\train.py
assignment_import,fit,self.scaler = self.scaler.fit(x),191,self.scaler = StandardScaler(),185,sklearn.preprocessing.StandardScaler.fit,sklearn,scripts/ml/train.py,UnitTestBot/UTBotJava,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\UnitTestBot@UTBotJava\scripts\ml\train.py
assignment_import,fit,"self.model.fit(self.scaler.transform(x), y)",192,self.model = LinearRegression(),184,sklearn.linear_model.LinearRegression.fit,sklearn,scripts/ml/train.py,UnitTestBot/UTBotJava,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\UnitTestBot@UTBotJava\scripts\ml\train.py
import,loads,values = json.loads(answer),28,import json,7,json.loads,json,scripts/ml/codeforces_scrapper/codeforces_scrapper.py,UnitTestBot/UTBotJava,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\UnitTestBot@UTBotJava\scripts\ml\codeforces_scrapper\codeforces_scrapper.py
import,load,metrics_json = json.load(metrics_raw),5,import json,2,json.load,json,scripts/project/json_to_prometheus.py,UnitTestBot/UTBotJava,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\UnitTestBot@UTBotJava\scripts\project\json_to_prometheus.py
