call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load,loaded = pickle.load(fhd),80,import pickle,3,pickle.load,pickle,training.py,undera/chess-engine-nn,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\undera@chess-engine-nn\training.py
import,load_model,self._model = models.load_model(fname),42,"from keras import models, callbacks, layers, regularizers",13,keras.models.load_model,keras,chessnn/nn.py,undera/chess-engine-nn,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\undera@chess-engine-nn\chessnn\nn.py
assignment_import,fit,"res = self._model.fit(inputs, outputs,  # sample_weight=np.array(sample_weights),",71,self._model = models.load_model(fname),42,keras.models.fit,keras,chessnn/nn.py,undera/chess-engine-nn,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\undera@chess-engine-nn\chessnn\nn.py
