call_name,line_no,class_instantiation,instantiation_line_no,relative_file_path,repository_name,file_path
self.op_code_embedding(op_code_indexes),430,"self.op_code_embedding = layers.Embedding(op_code_vocab_size, op_code_embed_dim, mask_zero=True)",411,dpro/cost_model/_xla/xla_module_cost_model.py,joapolarbear/dpro,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\joapolarbear@dpro\dpro\cost_model\_xla\xla_module_cost_model.py
self.subop_embedding(op_hash_indexes),433,"self.subop_embedding = layers.Embedding(subop_vocab_size, subop_embed_dim, mask_zero=True)",412,dpro/cost_model/_xla/xla_module_cost_model.py,joapolarbear/dpro,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\joapolarbear@dpro\dpro\cost_model\_xla\xla_module_cost_model.py
self.embedding_transform(input_feature_vec),442,"self.embedding_transform = layers.Dense(node_embed_dim, activation='relu')",414,dpro/cost_model/_xla/xla_module_cost_model.py,joapolarbear/dpro,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\joapolarbear@dpro\dpro\cost_model\_xla\xla_module_cost_model.py
self.embedding_hidden(transformed_embedding),447,"self.embedding_hidden = layers.Dense(node_embed_dim, activation='relu')",415,dpro/cost_model/_xla/xla_module_cost_model.py,joapolarbear/dpro,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\joapolarbear@dpro\dpro\cost_model\_xla\xla_module_cost_model.py
self.output_hidden(final_embedding),464,"self.output_hidden = layers.Dense(lstm_output_dim, activation='relu')",417,dpro/cost_model/_xla/xla_module_cost_model.py,joapolarbear/dpro,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\joapolarbear@dpro\dpro\cost_model\_xla\xla_module_cost_model.py
self.output_transform(final_embedding),468,"self.output_transform = layers.Dense(1, activation=None)",418,dpro/cost_model/_xla/xla_module_cost_model.py,joapolarbear/dpro,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\joapolarbear@dpro\dpro\cost_model\_xla\xla_module_cost_model.py
