call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load,self.graph_data = pickle.load(f),115,import _pickle as pickle,4.0,_pickle.load,_pickle,minetorch/drawers.py,louis-she/minetorch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\louis-she@minetorch\minetorch\drawers.py
import,load,checkpoint = torch.load(checkpoint_path),277,import torch,8.0,torch.load,torch,minetorch/miner.py,louis-she/minetorch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\louis-she@minetorch\minetorch\miner.py
assignment_unknown,load_state_dict,"self.model.load_state_dict(checkpoint[""state_dict""], strict=True)",286,self.model = model,118.0,model.load_state_dict,model,minetorch/miner.py,louis-she/minetorch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\louis-she@minetorch\minetorch\miner.py
assignment_unknown,load_state_dict,"self.model.load_state_dict(checkpoint[""state_dict""], strict=False)",294,self.model = model,118.0,model.load_state_dict,model,minetorch/miner.py,louis-she/minetorch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\louis-she@minetorch\minetorch\miner.py
assignment_unknown,load_state_dict,"self.optimizer.load_state_dict(checkpoint[""optimizer""])",299,self.optimizer = optimizer,119.0,optimizer.load_state_dict,optimizer,minetorch/miner.py,louis-she/minetorch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\louis-she@minetorch\minetorch\miner.py
assignment_import,load_state_dict,"self.scaler.load_state_dict(checkpoint[""scaler""])",314,self.scaler = torch.cuda.amp.GradScaler(),142.0,torch.load_state_dict,torch,minetorch/miner.py,louis-she/minetorch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\louis-she@minetorch\minetorch\miner.py
,load_state_dict,"statable.load_state_dict(checkpoint[""statable""][name])",327,,,statable.load_state_dict,statable,minetorch/miner.py,louis-she/minetorch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\louis-she@minetorch\minetorch\miner.py
,load_state_dict,"plugin.load_state_dict(checkpoint.get(key, {}))",332,,,plugin.load_state_dict,plugin,minetorch/miner.py,louis-she/minetorch,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\louis-she@minetorch\minetorch\miner.py
