call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,loads,X_json = [json.loads(e.request) for e in result],17,import json,2,json.loads,json,api/misc/sqlite_to_dataframe.py,City-of-Helsinki/mlops-template,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\City-of-Helsinki@mlops-template\api\misc\sqlite_to_dataframe.py
import,load_model,model: PyFuncModel = mlflow.pyfunc.load_model(,27,import mlflow.pyfunc,4,mlflow.pyfunc.load_model,mlflow,model_store/mlflow_model_store.py,City-of-Helsinki/mlops-template,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\City-of-Helsinki@mlops-template\model_store\mlflow_model_store.py
import,load,container = pickle.load(f),69,import pickle,2,pickle.load,pickle,model_store/pickle_model_store.py,City-of-Helsinki/mlops-template,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\City-of-Helsinki@mlops-template\model_store\pickle_model_store.py
