call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,load,"args = joblib.load(os.path.join(save_dir, ""args.joblib""))",309,import joblib,11,joblib.load,joblib,src/bigbird_flax.py,thevasudevgupta/bigbird,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\thevasudevgupta@bigbird\src\bigbird_flax.py
import,load,"data_collator = joblib.load(os.path.join(save_dir, ""data_collator.joblib""))",310,import joblib,11,joblib.load,joblib,src/bigbird_flax.py,thevasudevgupta/bigbird,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\thevasudevgupta@bigbird\src\bigbird_flax.py
import,load,training_state = json.load(f),313,import json,1,json.load,json,src/bigbird_flax.py,thevasudevgupta/bigbird,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\thevasudevgupta@bigbird\src\bigbird_flax.py
