call_root_type,method_name,method_call,line_no,call_root,call_root_line_no,qualifying_name,call_root_package,relative_file_path,repository_name,file_path
import,loads,return pickle.loads(base64.decodebytes(self.v_c_q_t_data)),506,import pickle,4.0,pickle.loads,pickle,cycling/models.py,Samuel-Buteau/universal-battery-database,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Samuel-Buteau@universal-battery-database\cycling\models.py
,load,flags = pickle.load(file),590,,,pickle.load,pickle,cycling/management/commands/compile_dataset.py,Samuel-Buteau/universal-battery-database,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Samuel-Buteau@universal-battery-database\cycling\management\commands\compile_dataset.py
import,load,dataset = pickle.load(f),86,import pickle,3.0,pickle.load,pickle,machine_learning/management/commands/ml_smoothing.py,Samuel-Buteau/universal-battery-database,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Samuel-Buteau@universal-battery-database\machine_learning\management\commands\ml_smoothing.py
import,load,dataset_names = pickle.load(f),91,import pickle,3.0,pickle.load,pickle,machine_learning/management/commands/ml_smoothing.py,Samuel-Buteau/universal-battery-database,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Samuel-Buteau@universal-battery-database\machine_learning\management\commands\ml_smoothing.py
import,load,my_data = pickle.load(f),62,import pickle,1.0,pickle.load,pickle,machine_learning/management/commands/quality_control_dataset.py,Samuel-Buteau/universal-battery-database,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Samuel-Buteau@universal-battery-database\machine_learning\management\commands\quality_control_dataset.py
