call_name,line_no,class_instantiation,instantiation_line_no,relative_file_path,repository_name,file_path
token_embedding_shared_layer(path_source_token_input),53,"token_embedding_shared_layer = Embedding(self.vocabs.token_vocab.size, self.config.TOKEN_EMBEDDINGS_SIZE, name='token_embedding')",51,keras_model.py,Kirili4ik/code2vec,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Kirili4ik@code2vec\keras_model.py
token_embedding_shared_layer(path_target_token_input),54,"token_embedding_shared_layer = Embedding(self.vocabs.token_vocab.size, self.config.TOKEN_EMBEDDINGS_SIZE, name='token_embedding')",51,keras_model.py,Kirili4ik/code2vec,C:\Users\tajki\OneDrive\Documents\GitHub\dataset-model-source_code-integration-analyzer\data\repositories_for_manual_analysis\Kirili4ik@code2vec\keras_model.py
